what,kind,bundleId,bundleVersion,description,time
activated,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1331973190382
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331973191986
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331973195238
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1331973203929
activated,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1331973205404
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331973207731
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331973208010
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331973210540
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331973214662
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1331973216872
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1331973222669
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1331973230173
error,log,,,"An internal error occurred during: ""Compute launch button tooltip"".",1331973232835
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331973232868
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331973234337
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331973235302
error,log,,,"An internal error occurred during: ""Compute launch button tooltip"".",1331973235668
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331973235698
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331973237133
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331973239578
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1331973243570
error,log,,,"An internal error occurred during: ""Compute launch button tooltip"".",1331973244817
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331973244847
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331973245321
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331973246483
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331973247884
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1331973247923
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331973248984
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331973249551
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331973251944
executed,command,,,"com.android.ide.eclipse.adt.junit.launchShortcut.run",1331973258587
activated,view,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.ResultView",1331973262647
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331973274819
activated,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1331973279109
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331973280833
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331973284840
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1331973295354
error,log,,,"An internal error occurred during: ""Compute launch button tooltip"".",1331973301276
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331973301309
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331973302783
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331973305459
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331973306731
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1331973306755
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331973310369
activated,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1331973311657
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331973316885
activated,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1331973318385
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331973326202
executed,command,,,"com.android.ide.eclipse.adt.junit.launchShortcut.run",1331973330769
activated,view,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.ResultView",1331973335448
activated,editor,com.android.ide.eclipse.adt,15.0.0.v201110251216-213216,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1331973337079
