what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331977403755
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331977405520
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331977408134
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331977412808
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331977417401
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331977418240
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331977418737
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331977418915
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331977422008
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331977422319
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1331977426981
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331977428909
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331977449759
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1331977449884
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331977458540
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331977459922
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331977460306
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1331977460915
