what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1332349847641
error,log,,,"An internal error occurred during: ""Compute launch button tooltip"".",1332349851351
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332349851374
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332349851969
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332349853155
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332349855026
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1332349855066
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332349855801
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332349857061
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332349857626
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332349857799
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1332349860245
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1332349861617
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1332349869783
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332349871441
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332349873774
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1332349873844
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332349876115
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332349909129
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332349910780
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332349915897
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1332349916067
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1332349916516
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1332349921237
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332349922043
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332349923627
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1332349931148
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332349938893
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332349941354
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1332349941378
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332349942090
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332349943867
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1332349943941
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAutomatically",1332349967433
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1332349969924
error,log,,,"An internal error occurred during: ""Compute launch button tooltip"".",1332349988436
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332349988460
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332349989805
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332349993353
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332349995680
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1332349995772
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1332349997901
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332350000101
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332350001252
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332350001554
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1332350002113
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1332350002125
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.304.v201101251958,"org.eclipse.wst.xsd.ui",1332350002131
stopped,bundle,org.eclipse.emf.edit.ui,2.6.0.v20100914-1218,"org.eclipse.emf.edit.ui",1332350002134
stopped,bundle,org.eclipse.compare.win32,1.0.101.R36x_v20101103-0618,"org.eclipse.compare.win32",1332350002136
